N100,N300,N1000,N3000,N10000
82,259,851,2581,8614
73,221,721,2136,7142
66,180,615,1828,6075
59,156,538,1592,5271
50,142,469,1413,4639
47,125,417,1257,4178
42,113,380,1108,3776
41,99,343,1008,3465
40,93,317,916,3170
38,84,292,853,2933
34,79,276,786,2707
33,74,255,738,2542
31,72,240,703,2376
27,71,226,670,2270
25,67,211,642,2153
25,63,197,602,2052
23,62,189,570,1946
22,58,180,540,1855
20,55,175,510,1776
20,53,171,490,1703
19,50,159,469,1633
19,48,151,449,1560
18,47,147,438,1501
17,44,141,422,1457
17,43,138,407,1403
17,43,130,398,1360
17,42,122,385,1311
17,40,118,368,1271
17,38,116,357,1228
16,38,112,348,1200
16,36,112,340,1162
16,35,109,329,1136
16,33,109,322,1106
15,32,105,314,1078
15,32,102,305,1044
15,31,100,298,1015
15,30,97,293,998
14,30,93,287,973
14,30,93,281,951
14,29,93,276,919
14,29,92,271,894
13,28,92,265,867
13,28,91,258,849
12,27,90,256,834
12,25,88,252,816
12,24,87,249,803
11,23,86,245,788
11,23,86,239,773
11,23,85,236,758
11,23,83,230,744
11,23,81,226,735
11,23,80,221,725
10,23,80,217,716
10,23,80,214,704
10,23,78,211,691
10,23,77,207,678
10,23,76,203,671
10,23,73,200,652
10,22,72,196,643
10,22,70,194,633
10,21,70,193,621
10,21,70,192,613
10,21,69,191,600
10,21,68,187,597
10,21,66,181,592
10,21,65,178,590
10,21,64,174,577
10,21,64,173,565
10,21,62,171,558
10,21,62,168,551
10,21,62,166,542
10,20,62,166,535
10,20,60,166,524
10,20,60,165,516
10,20,59,162,511
10,20,58,161,503
10,20,57,159,499
10,20,56,159,496
10,20,54,159,489
10,20,54,157,485
9,20,53,156,482
9,20,51,153,473
9,20,51,151,468
9,20,51,150,461
9,20,51,149,456
9,19,51,148,451
9,19,51,146,450
8,19,51,142,444
8,18,50,141,438
8,18,50,140,435
8,18,50,139,430
8,18,49,138,430
8,18,49,137,428
8,17,49,135,424
8,17,49,135,419
8,17,49,134,416
8,17,49,133,414
8,17,49,132,409
8,17,49,129,406
8,17,49,127,403
8,17,49,126,399
8,17,49,124,395
8,17,47,123,389
8,17,46,120,388
8,17,46,120,382
8,17,46,119,379
7,17,45,118,375
7,17,45,116,370
7,17,44,116,366
7,17,44,115,364
7,17,44,115,359
7,17,44,114,356
7,17,44,114,351
7,17,44,114,346
7,16,44,113,344
7,16,44,112,340
