x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
9828,9807,9811,9823,9808,9811,9819,9813,9812,9804
9204,9206,9236,9244,9232,9246,9231,9232,9291,9276
8477,8508,8524,8554,8536,8606,8558,8620,8632,8676
7781,7835,7854,7924,7949,7985,7977,7999,8100,8159
7158,7227,7273,7324,7405,7498,7508,7521,7623,7666
6612,6749,6751,6837,6934,7049,7089,7106,7265,7244
6153,6274,6326,6452,6518,6700,6774,6753,6967,6923
5724,5902,5932,6129,6178,6317,6384,6477,6617,6702
5384,5580,5627,5800,5932,6053,6132,6292,6445,6500
5064,5277,5358,5576,5687,5763,6005,6042,6245,6334
4812,5038,5178,5357,5431,5559,5797,5837,6072,6190
4570,4815,4951,5136,5217,5374,5594,5642,5831,6063
4337,4640,4757,4932,5100,5242,5461,5545,5768,5909
4153,4442,4571,4815,4929,5115,5315,5432,5618,5731
3991,4282,4408,4667,4832,4962,5243,5301,5536,5702
3858,4149,4263,4560,4745,4858,5081,5238,5485,5597
3713,4044,4149,4437,4670,4806,4975,5210,5405,5560
3558,3883,4047,4311,4519,4690,4897,5175,5291,5436
3439,3790,3920,4182,4449,4648,4816,5050,5218,5337
3337,3657,3862,4089,4349,4523,4827,4972,5164,5319
3240,3567,3760,4021,4354,4475,4679,4880,5069,5240
3132,3486,3686,3996,4263,4403,4624,4819,5049,5246
3056,3426,3693,3978,4198,4394,4560,4815,4994,5146
2979,3365,3619,3838,4130,4375,4467,4770,4955,5134
2882,3250,3526,3787,4079,4232,4374,4789,4937,5035
2793,3151,3500,3696,3997,4302,4313,4744,4882,5082
2738,3079,3396,3684,3876,4309,4287,4711,4860,5099
2673,3022,3370,3653,3875,4270,4322,4686,4922,5093
2609,2969,3355,3621,3883,4179,4379,4609,4855,5119
2528,2950,3312,3587,3839,4221,4370,4539,4859,5045
2475,2894,3301,3605,3783,4156,4328,4552,4855,5066
2479,2817,3266,3531,3747,4092,4337,4531,4815,5029
2430,2788,3247,3453,3789,4025,4369,4560,4805,5004
2390,2783,3202,3441,3689,4011,4283,4520,4809,4966
2312,2749,3183,3411,3718,4026,4242,4561,4759,4931
2284,2719,3085,3340,3683,4037,4247,4497,4751,4890
2268,2718,3043,3349,3631,4008,4232,4484,4756,4936
2251,2689,3042,3411,3617,3991,4241,4442,4729,4890
2208,2648,3001,3338,3653,3954,4175,4376,4707,4920
2162,2609,2936,3279,3615,3913,4190,4351,4713,4877
2130,2566,2934,3287,3600,3939,4205,4329,4695,4960
2118,2554,2913,3241,3638,3895,4195,4349,4734,4958
2079,2567,2893,3248,3641,3884,4148,4360,4688,4881
2070,2515,2809,3254,3597,3892,4186,4382,4693,4873
2048,2474,2839,3151,3586,3893,4226,4370,4609,4883
2047,2464,2839,3198,3597,3908,4169,4312,4606,4862
1996,2442,2771,3163,3564,3865,4110,4326,4552,4873
1983,2464,2777,3201,3556,3854,4129,4342,4629,4848
1936,2406,2732,3223,3523,3896,4122,4327,4614,4849
1905,2381,2751,3237,3465,3929,4115,4418,4561,4956
1892,2393,2722,3197,3471,3870,4125,4371,4637,4910
1858,2365,2768,3225,3490,3857,4123,4335,4565,4888
1816,2341,2696,3284,3569,3825,4202,4287,4580,4898
1819,2371,2681,3180,3507,3893,4167,4226,4589,4958
1828,2329,2712,3166,3485,3839,4188,4208,4561,4938
1783,2269,2730,3207,3435,3834,4173,4294,4589,4863
1796,2248,2734,3138,3408,3805,4167,4275,4569,4835
1812,2241,2729,3198,3387,3829,4128,4328,4571,4834
1775,2232,2712,3097,3385,3750,4153,4333,4611,4803
1737,2233,2723,3137,3348,3718,4132,4328,4591,4813
1716,2229,2711,3100,3432,3697,4139,4329,4508,4831
1687,2222,2703,3102,3402,3754,4052,4333,4624,4872
1656,2197,2614,3054,3357,3762,4073,4307,4603,4866
1661,2235,2643,3095,3421,3784,4095,4269,4548,4935
1653,2192,2644,3080,3383,3765,4034,4327,4558,4780
1646,2201,2636,3088,3420,3726,4080,4291,4496,4769
1637,2195,2633,3092,3372,3759,4067,4302,4554,4715
1650,2199,2647,3053,3310,3745,4040,4275,4520,4753
1626,2187,2619,3055,3310,3710,4045,4285,4588,4776
1569,2166,2581,3038,3346,3749,4050,4268,4557,4745
1553,2141,2549,3048,3334,3731,4060,4221,4518,4765
1548,2141,2583,3083,3324,3790,4031,4230,4540,4807
