z1,z12,z15,z2,z4
6362,6998,7747,8654,9833
4787,5415,6200,7311,9281
3929,4543,5221,6367,8715
3369,3924,4621,5694,8148
2974,3497,4139,5276,7722
2732,3198,3800,4857,7331
2536,2994,3612,4531,6980
2396,2782,3379,4232,6721
2237,2631,3217,4068,6533
2139,2522,3050,3910,6367
2038,2429,2952,3820,6158
1977,2373,2843,3661,5994
1913,2287,2784,3581,5896
1845,2252,2720,3456,5835
1834,2193,2657,3403,5727
1809,2157,2589,3337,5616
1747,2128,2538,3282,5498
1711,2078,2435,3214,5418
1725,2044,2464,3136,5424
1684,2012,2459,3159,5349
1685,2003,2414,3091,5325
1673,1946,2401,3075,5277
1662,1915,2378,2996,5251
1652,1928,2395,2989,5204
1631,1932,2369,2918,5100
1626,1897,2329,2930,4996
1564,1924,2376,2922,5061
1600,1887,2395,2921,5036
1573,1880,2371,2958,5032
1574,1894,2317,2972,4977
1589,1886,2311,2985,4861
1594,1861,2277,2959,4935
1540,1829,2269,2963,4919
1520,1806,2281,2898,4969
1526,1811,2266,2877,4955
1542,1811,2246,2905,4968
1544,1768,2265,2873,4999
1510,1779,2313,2845,5015
1527,1798,2300,2872,5008
1535,1777,2296,2847,4925
1566,1775,2282,2813,4966
1572,1751,2254,2800,4927
1560,1769,2262,2762,4949
1506,1785,2231,2765,4915
1498,1802,2244,2760,4996
1503,1791,2191,2749,4957
1491,1764,2231,2834,4985
1519,1749,2214,2815,4943
1522,1776,2200,2788,4921
1540,1760,2226,2796,4872
1530,1779,2198,2807,4968
1523,1781,2182,2783,4934
1526,1795,2166,2797,4963
1501,1794,2162,2865,4909
1512,1809,2154,2836,4861
1516,1796,2106,2851,4901
1530,1774,2148,2803,4860
1512,1787,2185,2824,4846
1524,1812,2217,2841,4908
1518,1805,2228,2818,4924
1506,1765,2224,2761,4917
1499,1813,2215,2745,4845
1515,1779,2226,2780,4885
1501,1784,2228,2775,4858
1511,1739,2182,2809,4906
1533,1780,2223,2813,4947
1527,1809,2184,2811,4907
1544,1801,2192,2812,4885
1535,1770,2181,2807,4881
1515,1809,2193,2826,4887
1485,1780,2223,2805,4916
1489,1781,2194,2812,4874
1494,1773,2186,2794,4886
1490,1768,2150,2788,4848
1500,1790,2175,2812,4838
1509,1797,2226,2823,4840
1523,1787,2192,2809,4881
1499,1812,2195,2795,4930
1459,1880,2213,2806,4922
1444,1845,2209,2758,4914
1449,1821,2203,2793,4892
1463,1837,2200,2794,4822
1491,1831,2201,2779,4879
1506,1808,2210,2770,4810
1511,1781,2150,2776,4796
1503,1796,2205,2756,4794
1484,1786,2197,2838,4841
1462,1771,2167,2808,4821
1486,1784,2154,2796,4832
1479,1788,2192,2828,4907
1471,1782,2184,2886,4860
1478,1766,2124,2802,4875
1477,1801,2137,2839,4843
1494,1804,2134,2800,4802
1486,1823,2179,2816,4846
1433,1842,2207,2834,4890
1481,1845,2148,2799,4875
1464,1828,2160,2814,4889
1481,1812,2182,2792,4851
1479,1767,2190,2781,4872
1483,1791,2167,2769,4940
1489,1761,2152,2806,4894
1462,1771,2161,2813,4861
1495,1796,2126,2785,4896
1504,1774,2099,2802,4959
1504,1773,2177,2810,4934
1476,1774,2157,2830,4921
1500,1761,2150,2741,4836
1483,1819,2117,2761,4847
1490,1818,2086,2720,4840
1510,1815,2139,2740,4819
1505,1842,2098,2803,4774
1462,1812,2097,2749,4859
1480,1839,2101,2727,4838
1476,1819,2104,2778,4817
1490,1825,2080,2754,4761
1494,1829,2128,2745,4802
1483,1815,2154,2774,4715
1491,1813,2123,2800,4760
1507,1844,2183,2782,4807
1523,1826,2143,2799,4838
1508,1830,2149,2801,4781
1533,1782,2124,2811,4860
1571,1791,2151,2803,4836
1522,1794,2130,2794,4845
1516,1792,2104,2777,4866
1491,1772,2130,2768,4908
1512,1802,2156,2811,4914
1510,1796,2161,2775,4806
1493,1809,2131,2778,4875
1458,1816,2130,2745,4857
1465,1792,2123,2709,4869
1475,1765,2113,2716,4847
1459,1792,2177,2741,4812
1468,1783,2164,2738,4824
1474,1805,2173,2720,4817
1500,1770,2163,2734,4884
1511,1766,2169,2718,4824
1495,1787,2206,2741,4885
1514,1777,2181,2748,4923
1516,1762,2151,2715,4939
1517,1768,2112,2726,4934
1483,1810,2125,2748,4891
1520,1812,2117,2755,4884
1518,1785,2170,2767,4890
1479,1778,2127,2771,4888
1511,1762,2141,2755,4883
1505,1769,2107,2722,4872
1521,1804,2127,2729,4869
1526,1816,2112,2738,4838
1501,1803,2116,2781,4850
1505,1784,2118,2808,4832
1480,1768,2118,2872,4847
1507,1813,2115,2790,4875
1500,1778,2146,2757,4894
1498,1789,2169,2791,4809
1450,1781,2186,2797,4862
1475,1797,2161,2756,4852
1515,1760,2143,2752,4812
1492,1763,2148,2786,4877
1526,1784,2156,2774,4851
1459,1788,2143,2784,4865
1459,1769,2178,2773,4868
1479,1762,2129,2779,4886
1490,1757,2129,2760,4853
1514,1757,2169,2793,4870
1539,1766,2241,2795,4881
1511,1767,2202,2804,4840
1517,1788,2183,2801,4838
1492,1775,2169,2778,4824
1500,1754,2179,2753,4825
1488,1768,2201,2737,4843
1476,1801,2181,2768,4852
1455,1792,2160,2805,4780
1484,1758,2124,2765,4732
1500,1798,2158,2822,4791
1482,1788,2160,2809,4780
1507,1823,2087,2820,4800
1534,1799,2111,2822,4842
1559,1816,2137,2835,4762
1561,1814,2111,2783,4739
1558,1799,2102,2815,4734
1549,1768,2107,2765,4741
1540,1772,2146,2786,4789
1540,1767,2139,2840,4807
1536,1761,2152,2805,4773
1528,1749,2123,2823,4845
1506,1750,2113,2860,4818
1539,1777,2104,2790,4844
1539,1743,2105,2804,4878
1538,1745,2104,2844,4842
1540,1781,2115,2822,4861
1541,1803,2140,2783,4828
1521,1783,2126,2794,4864
1508,1765,2128,2728,4808
1499,1762,2162,2755,4828
1534,1762,2189,2735,4838
1540,1792,2157,2752,4808
1520,1792,2164,2753,4905
1521,1785,2178,2780,4943
1494,1781,2119,2782,4929
1506,1783,2164,2788,4849
1512,1815,2171,2755,4845
1502,1782,2155,2808,4846
1521,1793,2158,2789,4804
1506,1785,2192,2803,4830
1480,1812,2223,2787,4807
1488,1788,2238,2773,4797
1484,1802,2197,2708,4793
1505,1794,2215,2744,4716
1485,1784,2154,2728,4806
1491,1795,2148,2764,4823
1504,1813,2140,2776,4775
1500,1781,2157,2766,4803
1489,1817,2137,2734,4839
1492,1774,2182,2758,4821
1497,1756,2148,2766,4815
1467,1767,2169,2788,4845
1454,1754,2156,2785,4836
1462,1768,2165,2797,4850
1469,1820,2133,2781,4821
1481,1804,2117,2791,4836
1458,1753,2162,2745,4822
1421,1811,2144,2739,4749
1440,1821,2138,2754,4835
1455,1814,2147,2715,4829
1449,1819,2169,2744,4854
1482,1817,2157,2757,4855
1513,1796,2209,2759,4857
1495,1808,2228,2741,4860
1488,1814,2176,2823,4880
1496,1781,2172,2873,4810
1512,1778,2200,2862,4849
1500,1755,2225,2856,4919
1509,1764,2204,2805,4895
1464,1770,2148,2824,4834
1473,1781,2143,2838,4878
1489,1781,2158,2779,4889
1471,1775,2146,2793,4863
1484,1805,2170,2751,4853
1470,1802,2193,2750,4877
1495,1813,2211,2755,4871
1487,1831,2190,2749,4887
1505,1818,2220,2727,4818
1498,1816,2224,2715,4794
1477,1792,2201,2709,4825
1434,1788,2184,2745,4884
1433,1820,2200,2773,4858
1422,1840,2164,2773,4862
1412,1774,2158,2785,4799
1446,1760,2146,2819,4848
1447,1748,2126,2832,4862
1430,1801,2120,2822,4838
1437,1804,2119,2810,4821
1443,1807,2116,2847,4866
1460,1805,2124,2827,4900
1509,1795,2130,2810,4801
1494,1786,2151,2768,4824
1493,1798,2203,2816,4812
1473,1788,2139,2803,4855
1457,1830,2154,2838,4785
1435,1837,2137,2803,4732
1430,1833,2143,2765,4793
1428,1846,2153,2781,4844
1445,1808,2164,2798,4809
1456,1800,2159,2846,4757
1480,1793,2117,2846,4797
1492,1783,2154,2807,4809
1511,1754,2128,2862,4780
1530,1769,2139,2920,4747
1520,1761,2168,2899,4813
1520,1746,2133,2859,4803
1525,1777,2181,2851,4852
1536,1798,2167,2782,4934
1523,1772,2163,2767,4952
1544,1777,2193,2738,4932
1549,1787,2167,2790,4948
1557,1785,2160,2751,4942
1534,1803,2151,2702,4868
1478,1803,2185,2704,4891
1483,1774,2173,2737,4928
1497,1780,2141,2701,4902
1507,1798,2112,2704,4918
1512,1772,2118,2706,4920
1498,1762,2152,2703,4907
1500,1781,2125,2750,4897
1502,1789,2113,2694,4921
1514,1805,2140,2737,4903
1493,1785,2146,2772,4861
1483,1756,2128,2737,4823
1514,1771,2106,2768,4820
1528,1777,2102,2772,4777
1555,1743,2097,2801,4760
1531,1796,2115,2807,4856
1540,1777,2129,2780,4884
1500,1776,2134,2740,4862
1538,1800,2159,2700,4813
1520,1792,2186,2743,4773
1532,1799,2121,2765,4807
1504,1780,2150,2755,4830
1479,1781,2196,2746,4830
1465,1772,2207,2794,4876
1462,1771,2217,2793,4901
1466,1741,2165,2777,4855
1476,1772,2151,2717,4900
1461,1756,2135,2759,4913
1464,1753,2135,2717,4846
1467,1731,2139,2690,4894
1466,1721,2177,2677,4846
1496,1759,2184,2737,4802
1483,1741,2173,2717,4856
1496,1766,2185,2638,4844
1501,1752,2160,2623,4888
1500,1752,2157,2650,4870
1493,1757,2171,2639,4825
1505,1772,2161,2678,4747
1507,1770,2187,2730,4784
1508,1772,2162,2698,4836
1520,1763,2160,2741,4877
1498,1779,2181,2775,4836
1477,1723,2179,2735,4912
1446,1719,2149,2725,4909
1464,1731,2147,2677,4956
1468,1749,2163,2676,4946
1470,1721,2200,2718,4985
1472,1730,2178,2712,4842
1494,1739,2137,2730,4905
1478,1721,2187,2752,4848
1501,1745,2137,2767,4851
1477,1759,2122,2764,4910
1487,1715,2134,2781,4851
1463,1733,2167,2739,4829
1478,1756,2205,2797,4818
1472,1769,2156,2768,4829
1470,1747,2210,2761,4796
1488,1744,2174,2734,4786
1489,1757,2196,2792,4786
1502,1737,2206,2828,4841
1483,1742,2188,2793,4931
1462,1734,2187,2812,4814
1451,1742,2226,2862,4882
1447,1715,2211,2819,4853
1459,1742,2194,2849,4807
1491,1732,2211,2846,4855
1503,1732,2200,2823,4834
1504,1717,2245,2855,4863
1520,1723,2226,2873,4869
1497,1708,2195,2836,4878
1474,1743,2238,2835,4883
1501,1705,2251,2807,4895
1504,1713,2257,2757,4845
1498,1675,2234,2792,4885
1491,1705,2223,2788,4907
1528,1709,2223,2748,4924
1500,1716,2179,2749,4827
1513,1694,2201,2785,4863
1515,1720,2209,2811,4757
1551,1740,2224,2829,4873
1529,1749,2214,2856,4822
1468,1741,2207,2884,4822
1480,1715,2201,2840,4847
1507,1725,2210,2839,4861
1520,1707,2228,2865,4969
1505,1734,2202,2794,4924
1489,1731,2229,2813,4980
1494,1726,2241,2805,4911
1475,1725,2228,2826,4891
1462,1728,2258,2842,4846
1454,1756,2259,2850,4856
1476,1707,2241,2828,4806
1486,1707,2208,2802,4841
1476,1728,2267,2764,4789
1499,1727,2214,2707,4788
1479,1698,2199,2707,4836
1507,1746,2213,2680,4815
1505,1733,2203,2742,4723
1481,1743,2168,2710,4785
1505,1748,2162,2758,4834
1494,1781,2173,2750,4796
1481,1747,2145,2744,4883
1498,1750,2143,2763,4824
1504,1753,2134,2725,4804
1492,1760,2131,2742,4808
1499,1778,2118,2816,4834
1544,1734,2121,2824,4958
1544,1760,2111,2833,4937
1519,1774,2133,2793,4934
1480,1740,2144,2789,4845
1490,1756,2123,2790,4784
1497,1722,2073,2818,4802
1477,1730,2090,2801,4811
1454,1739,2099,2792,4824
1458,1737,2106,2796,4876
1477,1736,2056,2798,4803
1498,1741,2079,2809,4785
1482,1735,2121,2780,4899
1487,1753,2128,2777,4795
1502,1740,2125,2840,4841
1499,1747,2136,2862,4891
1514,1750,2148,2827,4891
1518,1722,2125,2837,4877
1535,1728,2182,2828,4902
1522,1729,2155,2871,4889
1525,1711,2142,2828,4868
1530,1722,2130,2818,4873
1525,1727,2123,2829,4787
1528,1702,2139,2798,4859
1533,1729,2163,2739,4837
1502,1739,2140,2770,4779
1478,1762,2110,2791,4762
1497,1779,2116,2761,4788
1471,1766,2144,2745,4805
1462,1780,2119,2805,4812
1504,1795,2129,2812,4819
1495,1742,2123,2802,4898
1488,1751,2133,2821,4955
1498,1743,2154,2868,4918
1503,1753,2127,2899,4879
1483,1765,2157,2883,4952
1500,1773,2134,2883,4910
1501,1769,2163,2846,4849
1479,1762,2201,2816,4863
1453,1747,2188,2823,4852
1502,1722,2174,2781,4847
1477,1723,2179,2766,4853
1508,1744,2180,2849,4896
1520,1730,2188,2802,4851
1503,1741,2185,2780,4764
1510,1781,2197,2803,4827
1489,1765,2127,2765,4878
1495,1789,2135,2772,4878
1519,1764,2167,2740,4818
1553,1792,2137,2793,4869
1543,1758,2120,2780,4820
1497,1763,2166,2788,4814
1494,1729,2159,2800,4790
1502,1731,2164,2805,4833
1529,1732,2155,2771,4776
1535,1763,2185,2724,4839
1543,1750,2122,2720,4861
1528,1771,2122,2721,4796
1518,1775,2160,2720,4820
