z1,z12,z15,z2,z4
6339,6982,7734,8643,9808
4690,5324,6150,7200,9175
3734,4301,5095,6070,8425
3116,3633,4309,5276,7708
2663,3157,3689,4634,7091
2338,2754,3283,4114,6556
2099,2448,2951,3703,6095
1916,2204,2661,3383,5700
1745,1977,2435,3101,5338
1591,1821,2256,2884,5026
1478,1705,2097,2704,4707
1394,1583,1956,2522,4444
1315,1480,1843,2370,4201
1224,1392,1741,2234,3972
1156,1324,1648,2134,3788
1095,1249,1571,1999,3608
1044,1179,1481,1910,3446
1000,1122,1400,1814,3294
949,1073,1337,1737,3172
905,1026,1290,1661,3046
862,989,1251,1599,2930
820,944,1197,1531,2836
779,915,1151,1474,2743
756,878,1102,1420,2649
724,844,1059,1371,2547
701,818,1030,1339,2481
678,794,999,1302,2403
650,768,965,1266,2342
626,737,931,1237,2266
612,715,896,1196,2196
596,693,874,1165,2138
568,675,846,1132,2085
543,654,826,1100,2025
524,637,802,1083,1986
510,620,784,1052,1939
502,607,770,1023,1892
489,592,750,998,1850
481,586,733,972,1814
471,572,718,953,1780
454,564,701,936,1748
440,547,684,907,1709
431,537,673,888,1665
416,528,654,871,1631
405,517,636,847,1602
397,509,626,822,1576
386,501,615,810,1541
380,489,603,788,1515
371,482,583,776,1482
365,480,575,758,1459
359,473,566,741,1439
346,464,553,726,1417
342,452,548,711,1392
336,445,542,701,1374
333,438,531,689,1360
328,430,525,674,1332
320,423,519,664,1312
318,417,511,647,1289
310,413,509,635,1266
306,406,500,629,1255
299,395,491,619,1236
292,389,484,612,1222
287,384,475,596,1208
285,378,470,586,1192
280,371,463,575,1177
276,367,456,565,1167
276,364,447,558,1149
273,359,443,552,1136
270,353,433,545,1119
269,351,428,542,1103
264,345,427,533,1094
261,341,420,525,1084
257,337,412,520,1072
253,334,407,510,1056
251,330,403,504,1047
249,321,400,501,1035
244,319,394,496,1025
241,315,387,492,1012
234,313,383,487,1001
234,311,379,480,981
230,307,376,471,970
227,302,373,466,961
223,299,370,460,948
222,296,365,454,937
220,291,361,452,923
220,288,357,445,908
217,286,354,438,899
214,283,352,434,891
213,278,350,432,881
211,276,346,429,874
209,273,339,426,861
206,271,334,423,855
203,269,328,420,846
201,263,324,412,836
199,258,318,409,831
198,254,313,406,820
193,250,307,400,812
191,244,305,399,807
189,241,304,390,794
188,239,304,385,785
185,237,300,381,778
185,235,297,378,770
184,234,297,372,766
183,230,295,370,754
178,229,294,365,746
175,226,292,362,738
174,225,291,359,733
169,224,286,358,729
165,222,281,358,724
165,221,275,352,720
164,220,274,343,714
162,217,271,341,709
162,215,268,339,701
161,214,267,338,695
159,212,263,338,688
157,211,262,335,682
154,210,261,332,678
