t,m
1.0,-0.0134
2.0,-0.0124
3.0,-0.0008
4.0,-0.006
5.0,-0.0344
6.0,-0.0382
7.0,-0.0302
8.0,-0.0236
9.0,-0.0234
10.0,-0.0176
11.0,-0.0338
12.0,-0.0244
13.0,-0.0008
14.0,0.0036
15.0,0.0054
16.0,0.0
17.0,0.0012
18.0,-0.0064
19.0,0.0044
20.0,-0.0078
21.0,-0.0044
22.0,0.0056
23.0,0.0104
24.0,0.0182
25.0,0.0044
26.0,-0.0112
27.0,-0.009
28.0,-0.0102
29.0,-0.0148
30.0,-0.0202
31.0,-0.005
32.0,0.0024
33.0,0.0066
34.0,0.0136
35.0,0.0188
36.0,0.0094
37.0,0.0042
38.0,0.0146
39.0,0.0272
40.0,0.0338
41.0,0.018
42.0,0.0098
43.0,0.0072
44.0,-0.0118
45.0,-0.0022
46.0,-0.0004
47.0,-0.003
48.0,-0.0014
49.0,0.016
50.0,0.002
51.0,0.0078
52.0,-0.0086
53.0,-0.0094
54.0,-0.0136
55.0,-0.0062
56.0,-0.001
57.0,-0.004
58.0,-0.005
59.0,-0.0162
60.0,-0.0284
61.0,-0.015
62.0,-0.0028
63.0,-0.0344
64.0,-0.0384
65.0,-0.0474
66.0,-0.023
67.0,-0.0218
68.0,-0.017
69.0,-0.0186
70.0,-0.0186
71.0,-0.0138
72.0,-0.019
73.0,-0.0046
74.0,0.0086
75.0,0.006
76.0,-0.0112
77.0,0.0002
78.0,0.0
79.0,-0.0092
80.0,-0.01
81.0,0.0054
82.0,-0.0038
83.0,-0.0034
84.0,0.009
85.0,0.0054
86.0,0.026
87.0,0.0396
88.0,0.0254
89.0,0.0328
90.0,0.0354
91.0,0.0308
92.0,0.0182
93.0,0.0178
94.0,0.0086
95.0,0.0182
96.0,0.023
97.0,0.0126
98.0,0.0108
99.0,0.0106
100.0,0.0036
101.0,0.0038
102.0,0.008
103.0,0.0044
104.0,0.013
105.0,0.0094
106.0,0.0026
107.0,-0.0032
108.0,-0.0058
