t,m
1.0,0.016
2.0,0.0134
3.0,0.0392
4.0,0.0416
5.0,0.034
6.0,0.0132
7.0,0.0128
8.0,-0.002
9.0,0.034
10.0,0.0286
11.0,-0.0112
12.0,0.0102
13.0,0.0078
14.0,0.0062
15.0,0.011
16.0,0.0044
17.0,-0.0212
18.0,-0.0334
19.0,-0.0526
20.0,-0.0478
21.0,-0.0156
22.0,-0.0074
23.0,-0.0144
24.0,-0.0448
25.0,-0.0726
26.0,0.0046
27.0,-0.0318
28.0,-0.0206
29.0,-0.0194
30.0,-0.004
31.0,0.0614
32.0,0.039
33.0,0.007
34.0,-0.0268
35.0,-0.0152
36.0,-0.0366
37.0,-0.0632
38.0,-0.088
39.0,-0.043
40.0,-0.0552
41.0,-0.032
42.0,-0.1034
43.0,-0.0558
44.0,-0.0432
45.0,-0.0316
46.0,-0.0272
47.0,-0.0308
48.0,-0.0306
49.0,-0.0426
50.0,-0.0644
51.0,-0.062
52.0,-0.0838
53.0,-0.0444
54.0,-0.0356
55.0,0.004
56.0,-0.0224
57.0,0.0194
58.0,-0.03
59.0,0.0178
60.0,0.0096
61.0,0.0368
62.0,0.0912
63.0,0.1328
64.0,0.123
65.0,0.067
66.0,0.0406
67.0,0.0024
68.0,-0.0034
69.0,0.0034
70.0,0.0288
71.0,-0.0062
72.0,0.0154
73.0,0.0142
74.0,-0.0052
75.0,-0.0376
76.0,-0.0048
77.0,0.037
78.0,0.1328
79.0,0.1598
80.0,0.0888
81.0,0.0788
82.0,0.0414
83.0,0.0218
84.0,0.035
85.0,-0.0402
86.0,-0.0144
87.0,-0.0778
88.0,-0.0348
89.0,-0.0086
90.0,0.0298
91.0,0.027
92.0,-0.0688
93.0,-0.035
94.0,-0.0318
95.0,-0.0918
96.0,-0.0674
97.0,-0.0126
98.0,-0.0674
99.0,-0.0612
100.0,-0.1074
101.0,-0.1586
102.0,-0.199
103.0,-0.1416
104.0,-0.0998
105.0,-0.0684
106.0,-0.1058
107.0,-0.0276
108.0,-0.0248
109.0,-0.0338
110.0,-0.017
111.0,-0.065
112.0,0.0124
113.0,-0.0096
114.0,-0.0146
115.0,-0.0052
116.0,-0.0732
117.0,-0.0862
118.0,-0.059
119.0,0.0126
120.0,-0.0906
121.0,-0.069
122.0,-0.075
123.0,-0.0654
124.0,-0.0952
125.0,-0.118
126.0,-0.0998
127.0,-0.1034
128.0,-0.0626
129.0,-0.0294
130.0,0.0308
131.0,0.0064
132.0,0.0212
133.0,-0.0368
134.0,-0.094
135.0,-0.1054
136.0,-0.1276
137.0,-0.1228
138.0,-0.0872
139.0,-0.0144
140.0,0.032
141.0,0.029
142.0,0.0986
143.0,0.0644
144.0,0.0754
145.0,0.1088
146.0,0.0778
147.0,0.0658
148.0,0.1112
149.0,0.1732
150.0,0.0688
151.0,0.0758
152.0,0.1126
153.0,0.1274
154.0,0.1608
155.0,0.1492
156.0,0.0974
157.0,0.0456
158.0,0.0704
159.0,0.173
160.0,0.185
161.0,0.084
162.0,0.083
163.0,0.1638
164.0,0.1274
165.0,0.1786
166.0,0.1768
167.0,0.2128
168.0,0.1562
169.0,0.1726
170.0,0.0674
171.0,0.0114
172.0,-0.0156
173.0,-0.0116
174.0,-0.0266
175.0,-0.0192
176.0,0.0262
177.0,-0.027
178.0,-0.0092
179.0,0.0308
180.0,-0.0098
181.0,-0.0486
182.0,-0.1048
183.0,-0.084
184.0,-0.0214
185.0,-0.0294
186.0,0.0176
187.0,0.057
188.0,0.0382
189.0,0.024
190.0,0.0016
191.0,0.0476
192.0,0.0748
193.0,-0.0066
194.0,0.0476
195.0,0.0682
196.0,0.0402
197.0,0.072
198.0,0.0088
199.0,0.0314
200.0,0.0388
201.0,-0.0348
202.0,-0.0578
203.0,-0.0336
204.0,-0.0784
205.0,0.0008
206.0,-0.0662
207.0,-0.0144
208.0,-0.0236
209.0,0.0006
210.0,0.0852
211.0,0.1454
212.0,0.1616
213.0,0.1868
214.0,0.076
215.0,0.025
216.0,0.007
217.0,0.0786
218.0,0.1288
219.0,0.0588
220.0,0.0368
