t,m
1.0,-0.0036
2.0,-0.017
3.0,-0.0192
4.0,-0.0054
5.0,-0.0236
6.0,-0.034
7.0,-0.0118
8.0,-0.0266
9.0,-0.02
10.0,-0.0096
11.0,-0.0264
12.0,-0.0564
13.0,-0.038
14.0,-0.032
15.0,-0.027
16.0,-0.0338
17.0,-0.0022
18.0,-0.0132
19.0,-0.0274
20.0,-0.0378
21.0,-0.0328
22.0,-0.0368
23.0,-0.041
24.0,-0.0412
25.0,-0.0576
26.0,-0.0338
27.0,-0.0354
28.0,-0.0384
29.0,-0.0454
30.0,-0.0242
31.0,-0.0354
32.0,-0.0212
33.0,-0.0286
34.0,-0.036
35.0,-0.0258
36.0,-0.0488
37.0,-0.0354
38.0,-0.0268
39.0,0.0102
40.0,-0.0412
41.0,-0.0202
42.0,-0.0166
43.0,-0.0284
44.0,-0.0158
45.0,-0.0048
46.0,-0.0188
47.0,0.0052
48.0,0.0016
49.0,-0.0034
50.0,-0.0078
51.0,-0.0094
52.0,-0.0068
53.0,-0.0164
54.0,0.018
55.0,0.0254
56.0,0.0288
57.0,0.0372
58.0,0.0202
59.0,0.023
60.0,0.0082
61.0,0.022
62.0,-0.0094
63.0,0.0004
64.0,0.0642
65.0,0.0492
66.0,0.0802
67.0,0.0484
68.0,0.0526
69.0,0.0146
70.0,0.0094
71.0,0.0234
72.0,-0.0004
73.0,0.0202
74.0,-0.001
75.0,-0.0292
76.0,-0.0722
77.0,-0.0614
78.0,-0.0818
79.0,-0.0736
80.0,-0.0624
81.0,-0.0522
82.0,-0.023
83.0,-0.032
84.0,-0.0226
85.0,-0.0474
86.0,-0.0598
87.0,-0.0422
88.0,-0.019
89.0,-0.0064
90.0,0.0178
91.0,0.0496
92.0,0.053
93.0,0.049
94.0,0.0524
95.0,0.0658
96.0,0.0758
97.0,0.0756
98.0,0.0908
99.0,0.091
100.0,0.0608
101.0,0.051
102.0,0.023
103.0,0.0448
104.0,0.022
105.0,0.0218
106.0,0.009
107.0,0.0064
108.0,0.0206
109.0,0.0392
110.0,0.0242
111.0,0.0206
112.0,0.0214
113.0,0.0156
114.0,0.0178
115.0,0.051
116.0,0.038
117.0,0.049
118.0,0.0602
119.0,0.0646
120.0,0.077
121.0,0.0458
122.0,0.0664
123.0,0.0792
124.0,0.068
125.0,0.0596
126.0,0.075
127.0,0.0804
128.0,0.0776
129.0,0.0588
130.0,0.053
131.0,0.0546
